,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,<18,M,1060
1,1,25-44,M,15251
2,1,18-24,F,1197
3,1,45-64,M,6384
4,1,65+,F,73
5,1,45-64,F,931
6,1,<18,F,218
7,1,65+,M,375
8,1,18-24,M,4758
9,1,25-44,F,3200
10,2,18-24,F,1223
11,2,<18,M,1226
12,2,65+,M,319
13,2,25-44,F,3095
14,2,45-64,M,4716
15,2,45-64,F,931
16,2,18-24,M,5822
17,2,65+,F,39
18,2,25-44,M,14905
19,2,<18,F,271
20,3,<18,F,256
21,3,65+,M,381
22,3,65+,F,60
23,3,45-64,F,1036
24,3,25-44,M,17386
25,3,18-24,F,1329
26,3,<18,M,1412
27,3,18-24,M,6538
28,3,25-44,F,3349
29,3,45-64,M,5975
30,4,45-64,M,4875
31,4,25-44,M,13618
32,4,<18,M,996
33,4,18-24,F,1082
34,4,45-64,F,838
35,4,65+,M,366
36,4,25-44,F,2894
37,4,65+,F,62
38,4,18-24,M,5095
39,4,<18,F,154
40,5,65+,M,54
41,5,45-64,M,1078
42,5,<18,M,195
43,5,18-24,F,239
44,5,<18,F,39
45,5,25-44,M,2678
46,5,25-44,F,703
47,5,18-24,M,1012
48,5,45-64,F,178
49,5,65+,F,19
