,BoroCode,PerpRace,CrimeCount
0,1,BLACK,16832
1,1,BLACK HISPANIC,3332
2,1,AMERICAN INDIAN/ALASKAN NATIVE,65
3,1,WHITE HISPANIC,8076
4,1,WHITE,4069
5,1,ASIAN / PACIFIC ISLANDER,919
6,1,UNKNOWN,154
7,2,BLACK HISPANIC,5434
8,2,ASIAN / PACIFIC ISLANDER,492
9,2,UNKNOWN,169
10,2,WHITE,1140
11,2,WHITE HISPANIC,9830
12,2,AMERICAN INDIAN/ALASKAN NATIVE,60
13,2,BLACK,15422
14,3,AMERICAN INDIAN/ALASKAN NATIVE,93
15,3,UNKNOWN,125
16,3,BLACK,22367
17,3,ASIAN / PACIFIC ISLANDER,1520
18,3,BLACK HISPANIC,1745
19,3,WHITE HISPANIC,6879
20,3,WHITE,4993
21,4,BLACK HISPANIC,1422
22,4,BLACK,11915
23,4,WHITE HISPANIC,8572
24,4,AMERICAN INDIAN/ALASKAN NATIVE,140
25,4,ASIAN / PACIFIC ISLANDER,4311
26,4,WHITE,3449
27,4,UNKNOWN,171
28,5,BLACK HISPANIC,226
29,5,ASIAN / PACIFIC ISLANDER,231
30,5,BLACK,2427
31,5,WHITE,2051
32,5,WHITE HISPANIC,1209
33,5,UNKNOWN,34
34,5,AMERICAN INDIAN/ALASKAN NATIVE,17
