SchoolDist,AgeGroup,PerpSex,CrimeCount
1,45-64,F,56
1,18-24,M,279
1,25-44,F,249
1,65+,M,28
1,25-44,M,1052
1,<18,M,81
1,45-64,M,340
1,<18,F,12
1,65+,F,7
1,18-24,F,67
2,25-44,F,1476
2,45-64,F,422
2,18-24,M,2218
2,25-44,M,7312
2,<18,M,512
2,45-64,M,3137
2,65+,F,27
2,18-24,F,557
2,65+,M,172
2,<18,F,132
3,45-64,M,726
3,25-44,F,280
3,25-44,M,1358
3,<18,F,8
3,65+,F,10
3,18-24,F,83
3,65+,M,40
3,<18,M,65
3,18-24,M,354
3,45-64,F,111
4,65+,M,38
4,18-24,M,489
4,<18,F,23
4,25-44,F,332
4,25-44,M,1352
4,65+,F,7
4,<18,M,100
4,45-64,F,98
4,45-64,M,614
4,18-24,F,127
5,18-24,M,678
5,25-44,M,2238
5,65+,M,49
5,25-44,F,475
5,<18,M,172
5,<18,F,25
5,18-24,F,195
5,45-64,F,139
5,45-64,M,967
5,65+,F,11
6,18-24,M,716
6,18-24,F,154
6,45-64,M,569
6,<18,M,130
6,65+,F,10
6,65+,M,48
6,25-44,M,1863
6,<18,F,17
6,45-64,F,99
6,25-44,F,347
7,18-24,F,202
7,45-64,F,148
7,<18,M,231
7,<18,F,43
7,25-44,F,488
7,65+,M,43
7,45-64,M,807
7,25-44,M,2432
7,65+,F,3
7,18-24,M,972
8,45-64,F,176
8,<18,F,42
8,<18,M,211
8,65+,M,64
8,25-44,M,2343
8,25-44,F,468
8,18-24,F,207
8,18-24,M,967
8,45-64,M,703
8,65+,F,4
9,65+,F,7
9,65+,M,69
9,18-24,F,229
9,45-64,M,922
9,<18,F,51
9,<18,M,206
9,18-24,M,1122
9,25-44,F,612
9,25-44,M,2993
9,45-64,F,211
10,18-24,M,1376
10,45-64,M,1136
10,45-64,F,180
10,<18,F,71
10,65+,F,16
10,18-24,F,276
10,25-44,F,730
10,65+,M,66
10,25-44,M,3502
10,<18,M,259
11,18-24,M,871
11,<18,M,192
11,65+,M,48
11,45-64,M,748
11,25-44,F,563
11,<18,F,39
11,25-44,M,2575
11,45-64,F,141
11,18-24,F,207
11,65+,F,7
12,25-44,M,1136
12,65+,M,29
12,45-64,M,431
12,25-44,F,275
12,18-24,F,116
12,<18,F,26
12,18-24,M,538
12,65+,F,3
12,<18,M,127
12,45-64,F,81
13,25-44,M,2125
13,<18,M,181
13,65+,F,5
13,45-64,F,150
13,45-64,M,901
13,<18,F,37
13,25-44,F,424
13,18-24,F,151
13,65+,M,40
13,18-24,M,734
14,45-64,F,52
14,<18,M,53
14,<18,F,17
14,25-44,F,177
14,45-64,M,384
14,65+,F,2
14,18-24,M,313
14,18-24,F,84
14,65+,M,32
14,25-44,M,1020
15,65+,M,37
15,<18,F,28
15,18-24,F,120
15,45-64,F,116
15,18-24,M,472
15,<18,M,70
15,65+,F,9
15,45-64,M,661
15,25-44,M,1663
15,25-44,F,364
16,<18,F,17
16,18-24,F,73
16,25-44,F,215
16,65+,F,3
16,25-44,M,1107
16,45-64,M,405
16,<18,M,109
16,18-24,M,468
16,65+,M,19
16,45-64,F,75
17,65+,M,40
17,65+,F,7
17,<18,F,23
17,45-64,F,115
17,<18,M,158
17,45-64,M,618
17,18-24,M,763
17,25-44,M,1768
17,25-44,F,342
17,18-24,F,182
18,65+,M,26
18,<18,M,95
18,25-44,F,200
18,25-44,M,863
18,45-64,F,76
18,18-24,F,80
18,<18,F,14
18,65+,F,3
18,45-64,M,305
18,18-24,M,445
19,18-24,F,134
19,65+,M,27
19,25-44,F,373
19,65+,F,5
19,25-44,M,1797
19,18-24,M,774
19,45-64,F,81
19,<18,M,167
19,<18,F,18
19,45-64,M,494
20,<18,F,18
20,25-44,F,229
20,65+,M,36
20,65+,F,5
20,18-24,F,70
20,<18,M,99
20,18-24,M,550
20,45-64,M,478
20,45-64,F,78
20,25-44,M,1653
21,25-44,F,286
21,18-24,M,568
21,65+,M,45
21,45-64,F,69
21,45-64,M,552
21,<18,M,122
21,25-44,M,1735
21,18-24,F,97
21,<18,F,17
21,65+,F,8
22,25-44,M,1571
22,65+,M,49
22,18-24,F,129
22,65+,F,10
22,45-64,M,587
22,45-64,F,122
22,<18,M,175
22,18-24,M,610
22,<18,F,38
22,25-44,F,357
23,25-44,M,1130
23,65+,M,12
23,18-24,M,556
23,<18,F,20
23,65+,F,1
23,45-64,M,326
23,<18,M,130
23,45-64,F,66
23,18-24,F,129
23,25-44,F,215
24,45-64,M,703
24,<18,F,26
24,18-24,M,841
24,<18,M,117
24,65+,F,14
24,25-44,F,484
24,45-64,F,156
24,18-24,F,172
24,25-44,M,2289
24,65+,M,49
25,<18,F,12
25,45-64,F,118
25,25-44,M,1376
25,<18,M,103
25,18-24,F,100
25,65+,F,7
25,45-64,M,592
25,65+,M,57
25,25-44,F,289
25,18-24,M,542
26,45-64,F,25
26,<18,F,4
26,18-24,F,27
26,45-64,M,138
26,<18,M,25
26,65+,F,2
26,25-44,M,341
26,25-44,F,97
26,18-24,M,131
26,65+,M,9
27,25-44,F,592
27,45-64,M,988
27,18-24,M,1071
27,<18,M,296
27,65+,M,73
27,65+,F,15
27,18-24,F,231
27,<18,F,36
27,45-64,F,148
27,25-44,M,2519
28,18-24,F,205
28,25-44,M,2539
28,45-64,F,148
28,65+,F,7
28,25-44,F,497
28,<18,M,159
28,18-24,M,894
28,45-64,M,931
28,65+,M,65
28,<18,F,26
29,18-24,F,159
29,25-44,M,1932
29,65+,M,58
29,65+,F,10
29,<18,F,28
29,18-24,M,699
29,45-64,M,659
29,<18,M,176
29,45-64,F,99
29,25-44,F,469
30,65+,M,55
30,25-44,M,2622
30,45-64,F,144
30,65+,F,7
30,25-44,F,466
30,18-24,F,188
30,<18,M,120
30,<18,F,22
30,18-24,M,917
30,45-64,M,864
31,45-64,M,1078
31,25-44,M,2678
31,<18,F,39
31,25-44,F,703
31,<18,M,195
31,65+,F,19
31,18-24,M,1012
31,65+,M,54
31,45-64,F,178
31,18-24,F,239
32,65+,M,18
32,<18,F,9
32,25-44,M,954
32,18-24,M,285
32,18-24,F,80
32,25-44,F,167
32,45-64,F,36
32,45-64,M,264
32,<18,M,53
32,65+,F,2
